Date : 2022-09-11 18:41:42
Directory : /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app
Total : 71 files,  4744 codes, 208 comments, 789 blanks, all 5741 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/utils/repository.ts                               | TypeScript         |        103 |          3 |         27 |        133 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/views/corp-pay-approval/corpPayApproval.vue       | Vue                |        174 |          2 |         18 |        194 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/views/flight-order-create/flightOrderCreate.vue   | Vue                |         23 |          0 |          4 |         27 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/views/flight-order-details/flightOrderDetails.vue | Vue                |         25 |          0 |          5 |         30 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/views/flights/components/cabinInfo.vue            | Vue                |         69 |          0 |         10 |         79 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/views/flights/flightDetails.vue                   | Vue                |         42 |          0 |         10 |         52 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/src/views/flights/flights.vue                         | Vue                |        205 |          0 |         30 |        235 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/tsconfig.json                                         | JSON with Comments |         20 |          3 |          1 |         24 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/tsconfig.node.json                                    | JSON               |          9 |          0 |          1 |         10 |
| /Users/duohuang/Documents/dark-horse/examination/travel-platform-web-app/vite.config.ts                                        | TypeScript         |         69 |          7 |          3 |         79 |
| Total                                                                                                                          |                    |      4,744 |        208 |        789 |      5,741 |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
